Rank,Movie,Release,Distributor,Genre,2019 Gross,Tickets Sold
,,Date,,,,
1,Avengers: Endgame,4/26/2019,Walt Disney,Action,"$858,373,000 ","93,708,843"
2,The Lion King,7/19/2019,Walt Disney,Adventure,"$543,638,043 ","59,349,131"
3,Frozen II,11/22/2019,Walt Disney,Adventure,"$450,439,533 ","49,174,621"
4,Toy Story 4,6/21/2019,Walt Disney,Adventure,"$434,038,008 ","47,384,062"
5,Captain Marvel,3/8/2019,Walt Disney,Action,"$426,829,839 ","46,597,144"
6,Star Wars: The Rise of Skyw…,12/20/2019,Walt Disney,Adventure,"$390,706,234 ","42,653,519"
7,Spider-Man: Far From Home,7/2/2019,Sony Pictures,Action,"$390,532,085 ","42,634,507"
8,Aladdin,5/24/2019,Walt Disney,Adventure,"$355,559,216 ","38,816,508"
9,Joker,10/4/2019,Warner Bros.,Thriller/Suspense,"$333,772,511 ","36,438,047"
10,It: Chapter Two,9/6/2019,Warner Bros.,Horror,"$211,593,228 ","23,099,697"
11,Jumanji: The Next Level,12/13/2019,Sony Pictures,Adventure,"$192,094,536 ","20,971,019"
12,Us,3/22/2019,Universal,Thriller/Suspense,"$175,084,580 ","19,114,037"
13,Fast & Furious Presents: Ho…,8/2/2019,Universal,Action,"$173,956,935 ","18,990,932"
14,John Wick: Chapter 3 — Para…,5/17/2019,Lionsgate,Action,"$171,015,687 ","18,669,834"
15,How to Train Your Dragon: T…,2/22/2019,Universal,Adventure,"$160,799,505 ","17,554,531"
16,The Secret Life of Pets 2,6/7/2019,Universal,Adventure,"$158,874,395 ","17,344,366"
17,Pokémon: Detective Pikachu,5/10/2019,Warner Bros.,Adventure,"$144,105,346 ","15,732,025"
18,Once Upon a Time…in Hollywo…,7/26/2019,Sony Pictures,Thriller/Suspense,"$141,096,530 ","15,403,551"
19,Shazam!,4/5/2019,Warner Bros.,Action,"$140,371,656 ","15,324,417"
21,Knives Out,11/27/2019,Lionsgate,Drama,"$130,119,450 ","14,205,180"
22,Dumbo,3/29/2019,Walt Disney,Adventure,"$114,766,307 ","12,529,073"
23,Maleficent: Mistress of Evil,10/18/2019,Walt Disney,Adventure,"$113,294,737 ","12,368,421"
24,Glass,1/18/2019,Universal,Thriller/Suspense,"$111,048,468 ","12,123,195"
25,Godzilla: King of the Monsters,5/31/2019,Warner Bros.,Action,"$110,500,138 ","12,063,334"
26,Ford v. Ferrari,11/15/2019,20th Century Fox,Drama,"$109,976,339 ","12,006,150"
27,The Upside,1/11/2019,STX Entertainment,Comedy,"$108,235,497 ","11,816,102"
28,The LEGO Movie 2: The Secon…,2/8/2019,Warner Bros.,Adventure,"$105,806,508 ","11,550,929"
29,Hustlers,9/13/2019,STX Entertainment,Drama,"$104,962,986 ","11,458,841"
30,The Addams Family,10/11/2019,United Artists,Adventure,"$97,185,807 ","10,609,804"
31,Downton Abbey,9/20/2019,Focus Features,Drama,"$96,853,865 ","10,573,566"
32,Rocketman,5/31/2019,Paramount Pictures,Drama,"$96,368,160 ","10,520,541"
33,Alita: Battle Angel,2/14/2019,20th Century Fox,Action,"$85,710,210 ","9,357,009"
34,Good Boys,8/16/2019,Universal,Comedy,"$83,140,306 ","9,076,453"
35,Men in Black: International,6/14/2019,Sony Pictures,Adventure,"$80,001,807 ","8,733,821"
36,Annabelle Comes Home,6/26/2019,Warner Bros.,Horror,"$74,152,591 ","8,095,261"
37,Yesterday,6/28/2019,Universal,Romantic Comedy,"$73,286,650 ","8,000,726"
38,Tyler Perry’s A Madea Famil…,3/1/2019,Lionsgate,Comedy,"$73,257,045 ","7,997,493"
39,Zombieland: Double Tap,10/18/2019,Sony Pictures,Comedy,"$73,027,571 ","7,972,442"
