,Rank,RatingTomatometer,Title,No. of Reviews
0,1.0,98%,Parasite,463
1,2.0,94%,Avengers: Endgame,546
2,3.0,97%,Knives Out,466
3,4.0,93%,Us,551
4,5.0,97%,Toy Story 4,452
5,6.0,95%,The Irishman,454
6,7.0,95%,Little Women,424
7,8.0,96%,Booksmart,376
8,9.0,97%,The Farewell,343
9,10.0,95%,A Beautiful Day in the Neighborhood,371
10,11.0,94%,Marriage Story,391
11,12.0,95%,If Beale Street Could Talk,362
12,13.0,85%,Once Upon a Time In Hollywood,568
13,14.0,90%,Spider-Man: Far From Home,450
14,15.0,96%,Pain and Glory,297
15,16.0,90%,Shazam!,412
16,17.0,92%,Ford v Ferrari,351
17,18.0,97%,Dolemite Is My Name,232
18,19.0,99%,Apollo 11,186
19,20.0,90%,The Lighthouse,381
20,21.0,89%,Rocketman,390
21,22.0,91%,Uncut Gems,341
22,23.0,99%,Amazing Grace,160
23,24.0,99%,They Shall Not Grow Old,156
24,25.0,99%,Ash Is Purest White,153
25,26.0,100%,Honeyland,124
26,27.0,89%,John Wick: Chapter 3 - Parabellum,353
27,28.0,95%,The Peanut Butter Falcon,220
28,29.0,94%,Honey Boy,231
29,30.0,100%,One Cut of the Dead,91
30,31.0,93%,Fighting with My Family,241
31,32.0,79%,Captain Marvel,542
32,33.0,99%,Knock Down the House,104
33,34.0,96%,Birds of Passage,167
34,35.0,98%,Maiden,118
35,36.0,87%,Hustlers,353
36,37.0,98%,One Child Nation,100
37,38.0,98%,For Sama,98
38,39.0,98%,3 Faces,98
39,40.0,90%,How to Train Your Dragon: The Hidden World,271
40,41.0,97%,First Love,118
41,42.0,100%,Chained for Life,52
42,43.0,97%,Woman at War,117
43,44.0,100%,White Riot,49
44,45.0,97%,Tigers Are Not Afraid,114
45,46.0,88%,Ready or Not,310
46,47.0,94%,Transit,179
47,48.0,99%,The Chambermaid,70
48,49.0,100%,Midnight Traveler,47
49,50.0,92%,Stan & Ollie,221
50,51.0,95%,Atlantics,154
51,52.0,100%,Mickey and the Bear,45
52,53.0,98%,Deadwood: The Movie,88
53,54.0,98%,Varda by Agnès,88
54,55.0,96%,Hail Satan?,131
55,56.0,100%,"Scream, Queen! My Nightmare on Elm Street",43
56,57.0,100%,Changing the Game,41
57,58.0,98%,The Heiresses,80
58,59.0,97%,Toni Morrison: The Pieces I Am,101
59,60.0,92%,The Last Black Man in San Francisco,206
60,61.0,83%,Midsommar,397
61,62.0,95%,The Mustang,134
62,63.0,83%,Ad Astra,391
63,64.0,92%,Wild Rose,194
64,65.0,98%,63 Up,56
65,66.0,98%,Homecoming: A Film by Beyoncé,55
66,67.0,98%,Too Late to Die Young,55
67,68.0,91%,Gloria Bell,206
68,69.0,96%,By the Grace of God,96
69,70.0,97%,Midnight Family,72
70,71.0,98%,Buñuel in the Labyrinth of the Turtles,49
71,72.0,98%,Fiddler: A Miracle of Miracles,47
72,73.0,96%,American Factory,90
73,74.0,98%,Dirty God,45
74,75.0,97%,Making Waves: The Art of Cinematic Sound,66
75,76.0,98%,I'm No Longer Here,43
76,77.0,98%,Working Woman,43
77,78.0,97%,The Cave,63
78,79.0,88%,Blinded by the Light,259
79,80.0,93%,Bad Education,150
80,81.0,97%,The Kingmaker,62
81,82.0,96%,I Lost My Body,83
82,83.0,97%,Harpoon,61
83,84.0,97%,"Love, Antosha",61
84,85.0,89%,Dark Waters,229
85,86.0,95%,Little Woods,97
86,87.0,80%,Jojo Rabbit,422
87,88.0,89%,The Two Popes,224
88,89.0,96%,The Amusement Park,71
89,90.0,95%,Mike Wallace Is Here,91
90,91.0,96%,Ray & Liz,69
91,92.0,95%,Be Natural: The Untold Story of Alice Guy-Blaché,87
92,93.0,92%,Monos,150
93,94.0,90%,The Kid Who Would Be King,191
94,95.0,94%,Shadow,103
95,96.0,96%,Rojo,53
96,97.0,91%,In Fabric,160
97,98.0,96%,An Elephant Sitting Still,50
98,99.0,96%,It Must Be Heaven,49
99,100.0,95%,The Mortuary Collection,66
