Rank,RatingTomatometer,Title,No. of Reviews
1,98%,Parasite,463
2,94%,Avengers: Endgame,546
3,97%,Knives Out,466
4,93%,Us,551
5,97%,Toy Story 4,452
6,95%,The Irishman,454
7,95%,Little Women,424
8,96%,Booksmart,376
9,97%,The Farewell,343
10,95%,A Beautiful Day in the Neighborhood,371
11,94%,Marriage Story,391
12,95%,If Beale Street Could Talk,362
13,85%,Once Upon a Time In Hollywood,568
14,90%,Spider-Man: Far From Home,450
15,96%,Pain and Glory,297
16,90%,Shazam!,412
17,92%,Ford v Ferrari,351
18,97%,Dolemite Is My Name,232
19,99%,Apollo 11,186
20,90%,The Lighthouse,381
21,89%,Rocketman,390
22,91%,Uncut Gems,341
23,99%,Amazing Grace,160
24,99%,They Shall Not Grow Old,156
25,99%,Ash Is Purest White,153
26,100%,Honeyland,124
27,89%,John Wick: Chapter 3 - Parabellum,353
28,95%,The Peanut Butter Falcon,220
29,94%,Honey Boy,231
30,100%,One Cut of the Dead,91
31,93%,Fighting with My Family,241
32,79%,Captain Marvel,542
33,99%,Knock Down the House,104
34,96%,Birds of Passage,167
35,98%,Maiden,118
36,87%,Hustlers,353
37,98%,One Child Nation,100
38,98%,For Sama,98
39,98%,3 Faces,98
40,90%,How to Train Your Dragon: The Hidden World,271
41,97%,First Love,118
42,100%,Chained for Life,52
43,97%,Woman at War,117
44,100%,White Riot,49
45,97%,Tigers Are Not Afraid,114
46,88%,Ready or Not,310
47,94%,Transit,179
48,99%,The Chambermaid,70
49,100%,Midnight Traveler,47
50,92%,Stan & Ollie,221
51,95%,Atlantics,154
52,100%,Mickey and the Bear,45
53,98%,Deadwood: The Movie,88
54,98%,Varda by Agn̬s,88
55,96%,Hail Satan?,131
56,100%,"Scream, Queen! My Nightmare on Elm Street",43
57,100%,Changing the Game,41
58,98%,The Heiresses,80
59,97%,Toni Morrison: The Pieces I Am,101
60,92%,The Last Black Man in San Francisco,206
61,83%,Midsommar,397
62,95%,The Mustang,134
63,83%,Ad Astra,391
64,92%,Wild Rose,194
65,98%,63 Up,56
66,98%,Homecoming: A Film by Beyonc̩,55
67,98%,Too Late to Die Young,55
68,91%,Gloria Bell,206
69,96%,By the Grace of God,96
70,97%,Midnight Family,72
71,98%,Bu̱uel in the Labyrinth of the Turtles,49
72,98%,Fiddler: A Miracle of Miracles,47
73,96%,American Factory,90
74,98%,Dirty God,45
75,97%,Making Waves: The Art of Cinematic Sound,66
76,98%,I'm No Longer Here,43
77,98%,Working Woman,43
78,97%,The Cave,63
79,88%,Blinded by the Light,259
80,93%,Bad Education,150
81,97%,The Kingmaker,62
82,96%,I Lost My Body,83
83,97%,Harpoon,61
84,97%,"Love, Antosha",61
85,89%,Dark Waters,229
86,95%,Little Woods,97
87,80%,Jojo Rabbit,422
88,89%,The Two Popes,224
89,96%,The Amusement Park,71
90,95%,Mike Wallace Is Here,91
91,96%,Ray & Liz,69
92,95%,Be Natural: The Untold Story of Alice Guy-Blach̩,87
93,92%,Monos,150
94,90%,The Kid Who Would Be King,191
95,94%,Shadow,103
96,96%,Rojo,53
97,91%,In Fabric,160
98,96%,An Elephant Sitting Still,50
99,96%,It Must Be Heaven,49
100,95%,The Mortuary Collection,66
1,98%,One Night in Miami,331
2,98%,Portrait of a Lady on Fire,320
3,98%,Minari,307
4,98%,Ma Rainey's Black Bottom,297
5,95%,Soul,341
6,89%,1917,458
7,91%,The Invisible Man,410
8,99%,Never Rarely Sometimes Always,232
9,97%,Sound of Metal,274
10,90%,Promising Young Woman,399
11,99%,Wolfwalkers,161
12,97%,Hamilton,199
13,95%,Palm Springs,241
14,92%,Da 5 Bloods,302
15,96%,First Cow,208
16,100%,His House,117
17,99%,Miss Juneteenth,138
18,99%,Collective,129
19,100%,76 Days,98
20,100%,Crip Camp: A Disability Revolution,98
21,89%,The Trial of the Chicago 7,331
22,98%,David Byrne's American Utopia,134
23,100%,Dick Johnson Is Dead,90
24,100%,Host,89
25,94%,Possessor: Uncut,217
26,98%,The Forty-Year-Old Version,130
27,99%,Totally Under Control,102
28,99%,Saint Frances,102
29,98%,Time,122
30,98%,Blow the Man Down,120
31,88%,Onward,336
32,92%,The Personal History of David Copperfield,244
33,92%,The Vast of Night,244
34,100%,Welcome to Chechnya,71
35,100%,All In: The Fight for Democracy,66
36,100%,Mucho Mucho Amor: The Legend of Walter Mercado,62
37,92%,The Assistant,232
38,92%,Relic,231
39,100%,Athlete A,56
40,98%,Corpus Christi,99
41,99%,Driveways,77
42,97%,The Truffle Hunters,119
43,99%,On the Record,73
44,98%,Extra Ordinary,93
45,100%,Slay the Dragon,49
46,100%,House of Hummingbird,46
47,99%,The Fight,67
48,100%,A Secret Love,45
49,100%,Coup 53,44
50,100%,Rewind,44
51,100%,Coded Bias,43
52,100%,Mayor,42
53,100%,Mystify: Michael Hutchence,41
54,100%,A Thousand Cuts,40
55,92%,Another Round,211
56,97%,The Half of It,101
57,93%,Saint Maud,183
58,96%,The Painter and the Thief,110
59,97%,Gunda,88
60,98%,City Hall,64
61,98%,Anything for Jackson,62
62,98%,Vitalina Varela,62
63,98%,Beats,62
64,98%,Circus of Books,59
65,96%,Night of the Kings,101
66,94%,Boys State,144
67,98%,Disclosure,55
